日期,睡眠分,睡眠时长,深睡时长,REM时长,浅睡时长,睡眠效率,入睡耗时,就寝时间,起床时间,Readiness,RHR,HRV,体温偏移,活动分,步数
2026-04-23,73,5.27,1.23,1.41,2.62,88,12,01:36,07:35,77,56,45,-0.18,93,506
2026-04-24,74,5.45,1.11,1.56,2.78,96,9,02:55,08:35,71,57,36,-0.04,83,5952
2026-04-25,86,6.8,1.8,1.36,3.64,94,17,00:55,08:11,81,53,47,0.07,78,7396
2026-04-26,74,6.54,1.34,1.38,3.83,80,7,01:11,09:23,79,58,45,0.04,83,17919
2026-04-27,79,6.3,1.01,1.66,3.63,91,18,01:04,07:58,75,55,50,0.12,76,9430
2026-04-28,71,5.56,0.8,0.99,3.77,93,10,01:50,07:48,73,56,45,-0.2,72,5067
2026-04-29,73,5.28,1.18,1.52,2.57,92,10,02:25,08:10,70,58,31,0.28,71,7932
2026-04-30,80,6.08,2.02,1.56,2.49,92,12,01:17,07:51,76,56,40,-0.33,65,3918
2026-05-01,85,6.97,1.51,1.6,3.86,91,17,01:16,08:54,87,53,60,-0.31,73,10556
2026-05-02,92,9.44,1.7,2.07,5.67,94,7,00:53,10:58,87,56,50,0.13,67,5887
2026-05-03,77,6.56,1.23,1.68,3.66,93,14,02:42,09:45,84,55,48,-0.17,51,3968
2026-05-04,78,6.93,1.1,1.76,4.08,92,5,02:22,09:55,87,54,51,0.08,76,20787
2026-05-05,75,6.54,1.15,1.41,3.98,81,4,01:46,09:53,79,58,40,0.18,70,9433
2026-05-06,61,5.42,0.52,1.16,3.75,74,11,02:11,09:30,78,58,36,-0.04,73,8411
2026-05-07,77,6.34,0.91,1.44,3.99,92,13,01:39,08:32,82,57,50,-0.17,78,277
2026-05-08,,,,,,,,,,,,,,69,3580
2026-05-09,67,4.77,1.05,1.03,2.68,92,16,03:34,08:46,72,57,48,-0.02,76,10491
2026-05-10,68,4.73,0.95,1.22,2.57,95,8,02:25,07:23,69,60,47,-0.29,76,9140
2026-05-11,40,2.33,0.62,0.63,1.07,65,15,05:25,09:00,57,60,46,0.22,69,2298
2026-05-12,92,9.35,2.07,1.93,5.35,94,8,22:13,08:10,81,55,35,0.21,69,6722
2026-05-13,73,5.46,1.35,1.44,2.67,89,6,01:39,07:49,67,61,40,0.26,77,7896
2026-05-14,67,5.04,0.88,1.05,3.12,93,6,01:47,07:14,74,58,47,-0.22,78,3921
2026-05-15,68,5.46,1.02,1.39,3.04,84,8,00:44,07:14,72,56,49,0.09,77,7012
2026-05-16,79,5.73,1.02,1.56,3.16,94,12,01:42,07:49,74,58,42,0.15,70,5187
2026-05-17,81,6.47,1.15,1.98,3.33,95,6,01:02,07:50,82,57,46,-0.28,77,11601
2026-05-18,61,4.75,1.12,1.04,2.59,82,6,02:29,08:17,70,55,47,0.12,75,7275
2026-05-19,84,6.43,1.41,1.93,3.1,95,6,01:30,08:16,82,56,43,0.02,82,4289
2026-05-20,74,5.36,1.3,1.42,2.64,95,8,02:11,07:50,70,54,55,-0.1,73,4917
2026-05-21,77,6.53,1.44,1.39,3.69,93,6,00:22,07:23,80,55,46,0.01,75,5138
2026-05-22,63,4.54,0.93,0.88,2.74,92,10,04:35,09:31,78,53,60,0.34,77,6738
2026-05-23,84,7.44,1.59,1.46,4.39,80,6,00:14,09:34,85,58,41,-0.05,71,4472
2026-05-24,84,6.92,1.23,1.82,3.87,88,9,01:39,09:30,85,57,58,0.3,65,8594
2026-05-25,67,6.89,0.82,1.15,4.92,78,17,00:58,09:45,71,59,45,0.1,60,6512
2026-05-26,52,3.83,1.39,0.83,1.6,57,11,02:26,09:10,64,58,36,-0.05,51,4953
2026-05-27,79,6.37,1.35,1.48,3.53,94,4,02:27,09:11,71,60,41,-0.06,55,7282
2026-05-28,71,5.06,1.12,1.15,2.79,91,9,02:17,07:49,61,63,30,-0.22,57,7568
2026-05-29,62,3.72,1.49,1.07,1.16,89,10,03:31,07:40,62,60,36,-0.03,65,8084
2026-05-30,85,6.88,1.57,1.61,3.69,95,6,01:28,08:44,72,60,39,0.14,64,6557
2026-05-31,78,6.7,1.11,1.63,3.96,94,6,02:16,09:21,74,58,42,0.21,63,8047
2026-06-01,73,6.24,1.07,1.44,3.73,92,8,03:01,09:46,75,57,48,0.22,62,5114
2026-06-02,79,7.79,1.43,1.99,4.38,81,6,02:31,12:08,80,54,47,0.06,60,6745
2026-06-03,74,6.1,1.38,1.3,3.42,83,14,02:46,10:06,79,56,57,0.02,64,8150
2026-06-04,85,6.92,1.38,1.81,3.73,95,8,01:28,08:45,78,56,48,-0.16,62,10505
2026-06-05,84,7.26,1.43,1.93,3.89,91,8,02:17,10:15,75,58,37,0.17,54,4701
2026-06-06,71,5.38,1.13,1.24,3,95,9,03:22,09:00,74,56,64,0.71,50,5153
2026-06-07,82,6.76,1.39,1.78,3.58,94,8,02:23,09:36,81,52,59,-0.03,53,6185
2026-06-08,83,7.57,1.11,1.77,4.69,96,8,01:49,09:44,88,54,57,-0.29,46,7164
2026-06-09,72,6.88,1.22,1.46,4.2,82,12,02:32,10:57,85,56,52,-0.26,71,4484
2026-06-10,85,7.13,1.07,1.95,4.12,95,14,01:27,08:59,81,58,44,0.15,76,8952
2026-06-11,59,4.47,0.92,0.91,2.65,87,22,04:08,09:17,66,61,35,0.24,80,7244
2026-06-12,69,5.44,1.32,1.43,2.69,92,22,03:51,09:45,71,58,37,0.13,79,7638
2026-06-13,83,7.09,1.63,1.64,3.82,94,12,02:50,10:22,77,59,40,0.02,86,11292
2026-06-14,64,6.03,0.93,0.95,4.15,88,10,03:30,10:21,72,56,48,0.02,88,7074
2026-06-15,62,4.24,0.81,0.77,2.67,91,16,02:20,06:58,70,54,60,-0.05,83,5976
2026-06-16,85,5.83,0.95,1.53,3.34,91,14,02:46,09:08,83,57,47,-0.04,75,7500
2026-06-17,80,6.17,1.79,1.41,2.98,90,18,02:10,09:00,71,62,43,0.19,81,13551
2026-06-18,82,7.88,1.3,1.27,5.31,85,14,00:45,10:00,84,56,47,0.13,70,5771
2026-06-19,58,4.59,0.54,0.89,3.16,73,25,02:50,09:05,54,70,23,0.23,85,10876
2026-06-20,65,6.19,0.6,1.1,4.49,79,18,01:56,09:47,56,65,27,0.21,79,5887
2026-06-21,65,4.56,0.94,1.02,2.59,92,16,04:05,09:01,65,63,42,-0.07,84,9115
2026-06-22,68,5.41,0.7,1.04,3.67,92,10,03:30,09:22,67,59,39,-0.14,86,6296
2026-06-23,74,5.6,1.06,1.57,2.97,91,18,02:34,08:42,59,62,37,0.13,86,10006
2026-06-24,75,5.92,1.58,1.38,2.96,88,20,02:06,08:52,76,56,49,0.04,91,12656
2026-06-25,59,5.06,1.07,1.41,2.58,84,7,07:20,13:20,45,71,18,0.24,93,3866
2026-06-26,71,6.95,1.39,1.29,4.27,89,6,04:24,12:12,74,55,50,-0.15,89,4668
2026-06-27,65,5.9,0.66,1.56,3.68,88,5,03:11,09:55,71,55,45,-0.28,87,7584
2026-06-28,81,7.16,1.45,1.41,4.3,94,8,02:15,09:50,69,57,43,-0.11,94,13431
2026-06-29,66,5.42,0.79,1.35,3.28,89,11,01:48,07:52,63,58,34,-0.26,92,14385
2026-06-30,80,6.76,1.08,1.87,3.81,93,13,02:26,09:42,80,56,51,-0.26,91,5449
2026-07-01,79,5.67,1.48,1.48,2.72,91,18,03:21,09:34,73,55,50,-0.19,82,4656
